"id","orderid","productid","qty","unit_price","price"
70414799,74,4,1,5625,5625
70414800,75,2,2,9375,18750
70414801,76,3,1,7500,7500
70414802,76,2,2,9375,18750
70414803,76,5,1,1250,1250
70414804,77,3,3,7500,22500
70414805,77,2,3,9375,28125
70414806,77,4,1,5625,5625
70414807,78,2,1,9375,9375
70414808,78,4,1,5625,5625
70414809,79,3,1,7500,7500
70414810,79,2,3,9375,28125
70414811,79,1,1,1875,1875
70414812,80,3,1,7500,7500
70414813,81,2,1,9375,9375
70414814,81,4,1,5625,5625
70414815,82,3,1,7500,7500
70414816,82,2,5,9375,46875
70414817,82,4,2,5625,11250
70414818,82,5,2,1250,2500
70414819,82,1,1,1875,1875
70414820,83,3,2,7500,15000
70414821,84,4,2,5625,11250
70414822,85,3,1,7500,7500
70414823,86,3,1,7500,7500
70414824,86,2,2,9375,18750
70414825,86,4,2,5625,11250
70414826,86,5,1,1250,1250
70414827,86,1,1,1875,1875
70414828,86,1,1,1875,1875
70414829,87,4,1,5625,5625
70414830,88,3,1,7500,7500
70414831,89,3,2,7500,15000
70414832,89,2,2,9375,18750
70414833,89,4,3,5625,16875
70414834,89,5,1,1250,1250
70414835,89,1,1,1875,1875
70414836,90,2,3,9375,28125
70414837,90,1,1,1875,1875
70414838,91,3,1,7500,7500
70414839,91,2,1,9375,9375
70414840,91,4,3,5625,16875
70414841,91,1,1,1875,1875
70414842,92,4,1,5625,5625
70414843,93,3,1,7500,7500
70414844,93,2,2,9375,18750
70414845,93,1,1,1875,1875
70414846,94,2,1,9375,9375
70414847,95,3,3,7500,22500
70414848,95,2,3,9375,28125
70414849,95,4,2,5625,11250
70414850,96,2,2,9375,18750
70414851,96,4,3,5625,16875
70414852,96,5,1,1250,1250
70414853,96,1,1,1875,1875
70414854,97,3,1,7500,7500
70414855,97,2,2,9375,18750
70414856,97,4,2,5625,11250
70414857,97,5,1,1250,1250
70414858,97,1,2,1875,3750
70414859,97,1,1,1875,1875
70414860,98,3,1,7500,7500
70414861,98,2,1,9375,9375
70414862,98,4,1,5625,5625
70414863,98,1,1,1875,1875
70414864,99,4,3,5625,16875
70414865,99,5,1,1250,1250
70414866,100,2,2,9375,18750
70414867,100,4,3,5625,16875
70414868,100,1,1,1875,1875
70414869,101,3,2,7500,15000
70414870,101,2,1,9375,9375
70414871,101,1,1,1875,1875
70414872,102,3,1,7500,7500
70414873,102,2,1,9375,9375
70414874,102,4,3,5625,16875
70414875,102,5,2,1250,2500
70414876,102,1,1,1875,1875
70414877,103,3,3,7500,22500
70414878,103,2,2,9375,18750
70414879,103,4,2,5625,11250
70414880,103,5,1,1250,1250
70414881,103,1,3,1875,5625
70414882,104,2,3,9375,28125
70414883,104,4,1,5625,5625
70414884,105,2,1,9375,9375
70414885,106,3,3,7500,22500
70414886,106,2,1,9375,9375
70414887,106,4,3,5625,16875
70414888,107,2,1,9375,9375
70414889,108,4,1,5625,5625
70414890,109,2,1,9375,9375
70414891,109,4,3,5625,16875
70414892,110,3,1,7500,7500
70414893,110,2,1,9375,9375
70414894,110,4,2,5625,11250
70414895,111,3,1,7500,7500
70414896,111,2,1,9375,9375
70414897,111,4,1,5625,5625
70414898,112,3,3,7500,22500
70414899,112,2,2,9375,18750
70414900,112,4,3,5625,16875
70414901,112,1,2,1875,3750
70414902,113,2,1,9375,9375
70414903,113,4,2,5625,11250
70414904,113,5,1,1250,1250
70414905,113,1,2,1875,3750
70414906,114,3,2,7500,15000
70414907,115,3,2,7500,15000
70414908,115,2,3,9375,28125
70414909,115,4,2,5625,11250
70414910,116,3,1,7500,7500
70414911,116,4,2,5625,11250
70414912,117,3,3,7500,22500
70414913,117,2,2,9375,18750
70414914,117,4,2,5625,11250
70414915,117,5,2,1250,2500
70414916,117,1,1,1875,1875
70414917,118,3,1,7500,7500
70414918,118,2,3,9375,28125
70414919,118,4,1,5625,5625
70414920,118,5,1,1250,1250
70414921,119,3,2,7500,15000
70414922,119,2,3,9375,28125
70414923,119,4,1,5625,5625
70414924,119,5,2,1250,2500
70414925,119,1,1,1875,1875
70414926,119,1,1,1875,1875
70414927,120,3,1,7500,7500
70414928,120,4,1,5625,5625
70414929,120,5,1,1250,1250
70414930,121,3,1,7500,7500
70414931,121,2,3,9375,28125
70414932,121,4,1,5625,5625
70414933,121,5,1,1250,1250
70414934,121,1,2,1875,3750
70414935,121,1,1,1875,1875
70414936,122,3,1,7500,7500
70414937,122,2,2,9375,18750
70414938,122,4,1,5625,5625
70414939,122,1,1,1875,1875
70414940,123,3,2,7500,15000
70414941,123,2,3,9375,28125
70414942,123,4,2,5625,11250
70414943,124,3,1,7500,7500
70414944,124,2,1,9375,9375
70414945,124,1,1,1875,1875
70414946,125,2,1,9375,9375
70414947,126,2,1,9375,9375
70414948,127,3,1,7500,7500
70414949,127,2,2,9375,18750
70414950,127,4,3,5625,16875
70414951,127,1,1,1875,1875
70414952,128,3,1,7500,7500
70414953,129,3,1,7500,7500
70414954,129,2,2,9375,18750
70414955,129,4,1,5625,5625
70414956,129,5,1,1250,1250
70414957,129,1,1,1875,1875
70414958,130,3,1,7500,7500
70414959,131,3,1,7500,7500
70414960,132,3,2,7500,15000
70414961,132,2,1,9375,9375
70414962,132,4,2,5625,11250
70414963,133,2,1,9375,9375
70414964,134,2,1,9375,9375
70414965,135,3,1,7500,7500
70414966,135,4,1,5625,5625
70414967,136,4,2,5625,11250
70414968,137,2,3,9375,28125
70414969,137,4,3,5625,16875
70414970,137,1,1,1875,1875
70414971,138,3,2,7500,15000
70414972,138,2,2,9375,18750
70414973,138,4,2,5625,11250
70414974,138,1,1,1875,1875
70414975,139,3,2,7500,15000
70414976,139,2,1,9375,9375
70414977,139,5,1,1250,1250
70414978,139,1,1,1875,1875
70414979,140,2,1,9375,9375
70414980,141,2,2,9375,18750
70414981,141,4,3,5625,16875
70414982,141,5,1,1250,1250
70414983,142,2,1,9375,9375
70414984,142,4,2,5625,11250
70414985,142,5,1,1250,1250
70414986,142,1,1,1875,1875
70414987,143,4,1,5625,5625
70414988,144,3,1,7500,7500
70414989,145,3,2,7500,15000
70414990,145,2,1,9375,9375
70414991,145,4,1,5625,5625
70414992,145,5,3,1250,3750
70414993,145,1,1,1875,1875
70414994,146,3,3,7500,22500
70414995,146,2,2,9375,18750
70414996,146,4,3,5625,16875
70414997,147,2,1,9375,9375
70414998,147,4,1,5625,5625
70414999,147,1,1,1875,1875
70415000,148,2,1,9375,9375
70415001,148,4,2,5625,11250
70415002,149,3,2,7500,15000
70415003,149,2,2,9375,18750
70415004,149,4,2,5625,11250
70415005,149,1,3,1875,5625
70415006,150,4,1,5625,5625
70415007,151,4,1,5625,5625
70415008,152,3,1,7500,7500
70415009,152,4,1,5625,5625
70415010,153,4,1,5625,5625
70415011,154,2,1,9375,9375
70415012,154,4,1,5625,5625
70415013,155,3,1,7500,7500
70415014,155,2,2,9375,18750
70415015,156,3,3,7500,22500
70415016,156,2,1,9375,9375
70415017,156,4,2,5625,11250
70415018,156,5,2,1250,2500
70415019,157,2,1,9375,9375
70415020,158,2,1,9375,9375
70415021,159,3,2,7500,15000
70415022,159,4,1,5625,5625
70415023,160,3,1,7500,7500
70415024,160,2,2,9375,18750
70415025,160,5,1,1250,1250
70415026,160,1,1,1875,1875
70415027,161,3,3,7500,22500
70415028,161,4,2,5625,11250
70415029,162,2,1,9375,9375
70415030,162,4,2,5625,11250
70415031,163,2,2,9375,18750
70415032,164,3,1,7500,7500
70415033,164,2,2,9375,18750
70415034,164,4,1,5625,5625
70415035,165,3,1,7500,7500
70415036,165,4,1,5625,5625
70415037,166,3,1,7500,7500
70415038,167,4,2,5625,11250
70415039,168,3,1,7500,7500
70415040,168,4,1,5625,5625
70415041,168,5,1,1250,1250
70415042,169,4,1,5625,5625
70415043,170,3,2,7500,15000
70415044,170,2,1,9375,9375
70415045,170,4,3,5625,16875
70415046,170,5,1,1250,1250
70415047,170,1,1,1875,1875
70415048,170,1,1,1875,1875
70415049,171,3,1,7500,7500
70415050,171,2,1,9375,9375
70415051,171,4,2,5625,11250
70415052,172,3,2,7500,15000
70415053,172,2,1,9375,9375
70415054,172,4,2,5625,11250
70415055,172,5,1,1250,1250
70415056,172,1,1,1875,1875
70415057,173,3,2,7500,15000
70415058,173,2,1,9375,9375
70415059,173,1,1,1875,1875
70415060,174,3,2,7500,15000
70415061,175,3,1,7500,7500
70415062,175,2,1,9375,9375
70415063,175,4,2,5625,11250
70415064,176,3,1,7500,7500
70415065,176,2,5,9375,46875
70415066,176,4,1,5625,5625
70415067,176,1,1,1875,1875
70415068,177,3,1,7500,7500
70415069,178,3,1,7500,7500
70415070,178,2,1,9375,9375
70415071,179,3,1,7500,7500
70415072,179,2,1,9375,9375
70415073,179,4,1,5625,5625
70415074,180,3,1,7500,7500
70415075,180,4,1,5625,5625
70415076,181,2,1,9375,9375
70415077,181,4,1,5625,5625
70415078,182,2,1,9375,9375
70415079,183,3,3,7500,22500
70415080,183,2,2,9375,18750
70415081,183,4,3,5625,16875
70415082,183,5,3,1250,3750
70415083,183,1,1,1875,1875
70415084,184,3,2,7500,15000
70415085,184,2,2,9375,18750
70415086,184,4,2,5625,11250
70415087,185,3,2,7500,15000
70415088,185,2,2,9375,18750
70415089,186,4,1,5625,5625
70415090,187,3,1,7500,7500
70415091,187,4,2,5625,11250
70415092,188,3,2,7500,15000
70415093,188,2,2,9375,18750
70415094,188,4,2,5625,11250
70415095,188,1,1,1875,1875
70415096,188,1,1,1875,1875
70415097,189,3,2,7500,15000
70415098,189,4,1,5625,5625
70415099,190,4,1,5625,5625
70415100,191,3,1,7500,7500
70415101,191,2,1,9375,9375
70415102,192,3,3,7500,22500
70415103,193,3,2,7500,15000
70415104,193,2,2,9375,18750
70415105,193,5,1,1250,1250
70415106,193,1,1,1875,1875
70415107,194,3,2,7500,15000
70415108,194,2,3,9375,28125
70415109,194,4,3,5625,16875
70415110,194,5,1,1250,1250
70415111,195,2,1,9375,9375
70415112,196,2,2,9375,18750
70415113,196,4,1,5625,5625
70415114,197,3,3,7500,22500
70415115,197,2,1,9375,9375
70415116,197,5,1,1250,1250
70415117,197,1,1,1875,1875
70415118,198,2,1,9375,9375
70415119,199,3,1,7500,7500
70415120,199,4,1,5625,5625
70415121,200,3,1,7500,7500
70415122,201,3,3,7500,22500
70415123,202,2,2,9375,18750
70415124,202,4,3,5625,16875
70415125,203,4,1,5625,5625
70415126,204,3,1,7500,7500
70415127,204,4,1,5625,5625
70415128,204,5,1,1250,1250
70415129,205,3,3,7500,22500
70415130,205,4,3,5625,16875
70415131,205,5,3,1250,3750
70415132,206,3,1,7500,7500
70415133,206,2,2,9375,18750
70415134,206,4,3,5625,16875
70415135,206,5,3,1250,3750
70415136,206,1,1,1875,1875
70415137,207,3,2,7500,15000
70415138,207,2,1,9375,9375
70415139,208,3,1,7500,7500
70415140,208,2,1,9375,9375
70415141,208,4,2,5625,11250
70415142,208,1,3,1875,5625
70415143,209,2,1,9375,9375
70415144,209,4,1,5625,5625
70415145,210,3,3,7500,22500
70415146,210,4,2,5625,11250
70415147,210,1,1,1875,1875
70415148,211,3,1,7500,7500
70415149,211,2,3,9375,28125
70415150,212,3,2,7500,15000
70415151,212,2,2,9375,18750
70415152,212,4,3,5625,16875
70415153,212,5,2,1250,2500
70415154,212,1,1,1875,1875
70415155,213,2,1,9375,9375
70415156,213,4,1,5625,5625
70415157,214,2,2,9375,18750
70415158,215,2,1,9375,9375
70415159,216,3,1,7500,7500
70415160,216,2,3,9375,28125
70415161,216,4,1,5625,5625
70415162,216,5,1,1250,1250
70415163,216,1,1,1875,1875
70415164,217,2,1,9375,9375
70415165,218,4,2,5625,11250
70415166,219,2,2,9375,18750
70415167,219,4,1,5625,5625
70415168,219,5,1,1250,1250
70415169,220,4,1,5625,5625
70415170,221,3,1,7500,7500
70415171,221,4,1,5625,5625
70415172,221,1,1,1875,1875
70415173,222,3,1,7500,7500
70415174,222,4,1,5625,5625
70415175,223,3,2,7500,15000
70415176,223,2,1,9375,9375
70415177,223,4,2,5625,11250
70415178,223,5,1,1250,1250
70415179,224,3,1,7500,7500
70415180,224,2,3,9375,28125
70415181,224,4,2,5625,11250
70415182,224,5,2,1250,2500
70415183,224,1,2,1875,3750
70415184,225,3,2,7500,15000
70415185,225,2,2,9375,18750
70415186,225,4,2,5625,11250
70415187,225,5,1,1250,1250
70415188,225,1,2,1875,3750
70415189,225,1,1,1875,1875
70415190,226,3,1,7500,7500
70415191,226,2,1,9375,9375
70415192,227,3,1,7500,7500
70415193,227,2,2,9375,18750
70415194,227,4,1,5625,5625
70415195,228,3,2,7500,15000
70415196,228,5,1,1250,1250
70415197,229,2,1,9375,9375
70415198,230,3,1,7500,7500
70415199,231,2,4,9375,37500
70415200,231,4,1,5625,5625
70415201,232,3,2,7500,15000
70415202,232,2,2,9375,18750
70415203,232,4,2,5625,11250
70415204,232,5,2,1250,2500
70415205,232,1,1,1875,1875
70415206,233,3,1,7500,7500
70415207,233,2,1,9375,9375
70415208,234,4,1,5625,5625
70415209,235,3,1,7500,7500
70415210,235,2,3,9375,28125
70415211,235,1,2,1875,3750
70415212,236,3,1,7500,7500
70415213,236,2,1,9375,9375
70415214,236,1,1,1875,1875
70415215,237,2,1,9375,9375
70415216,237,4,1,5625,5625
70415217,238,3,1,7500,7500
70415218,239,3,1,7500,7500
70415219,240,3,1,7500,7500
70415220,240,2,1,9375,9375
70415221,240,4,2,5625,11250
70415222,240,5,1,1250,1250
70415223,240,1,1,1875,1875
70415224,241,2,2,9375,18750
70415225,242,3,1,7500,7500
70415226,242,4,2,5625,11250
70415227,242,5,1,1250,1250
70415228,242,1,1,1875,1875
70415229,243,3,2,7500,15000
70415230,243,2,2,9375,18750
70415231,243,4,4,5625,22500
70415232,243,5,2,1250,2500
70415233,244,3,3,7500,22500
70415234,244,2,1,9375,9375
70415235,244,4,3,5625,16875
70415236,244,1,1,1875,1875
70415237,245,3,1,7500,7500
70415238,245,4,1,5625,5625
70415239,245,1,1,1875,1875
70415240,246,2,2,9375,18750
70415241,247,3,1,7500,7500
70415242,247,2,1,9375,9375
70415243,247,4,1,5625,5625
70415244,248,3,4,7500,30000
70415245,248,2,1,9375,9375
70415246,248,5,1,1250,1250
70415247,248,1,1,1875,1875
70415248,249,2,1,9375,9375
70415249,250,3,2,7500,15000
70415250,250,5,1,1250,1250
70415251,251,3,1,7500,7500
70415252,251,4,1,5625,5625
70415253,252,3,1,7500,7500
70415254,252,4,2,5625,11250
70415255,252,1,1,1875,1875
70415256,253,3,3,7500,22500
70415257,253,2,1,9375,9375
70415258,253,4,2,5625,11250
70415259,253,1,1,1875,1875
70415260,254,3,1,7500,7500
70415261,254,4,2,5625,11250
70415262,255,2,1,9375,9375
70415263,255,4,2,5625,11250
70415264,256,3,1,7500,7500
70415265,257,3,2,7500,15000
70415266,257,2,3,9375,28125
70415267,257,4,2,5625,11250
70415268,257,1,1,1875,1875
70415269,257,1,1,1875,1875
70415270,258,2,1,9375,9375
70415271,259,2,2,9375,18750
70415272,260,3,1,7500,7500
70415273,260,4,2,5625,11250
70415274,260,1,1,1875,1875
70415275,261,4,1,5625,5625
70415276,262,3,1,7500,7500
70415277,262,2,3,9375,28125
70415278,262,4,3,5625,16875
70415279,263,3,1,7500,7500
70415280,264,3,2,7500,15000
70415281,264,2,1,9375,9375
70415282,264,4,1,5625,5625
70415283,264,1,2,1875,3750
70415284,265,3,3,7500,22500
70415285,265,2,1,9375,9375
70415286,265,4,2,5625,11250
70415287,265,1,2,1875,3750
70415288,266,3,1,7500,7500
70415289,266,2,1,9375,9375
70415290,266,4,1,5625,5625
70415291,266,5,2,1250,2500
70415292,267,3,2,7500,15000
70415293,267,2,3,9375,28125
70415294,267,4,3,5625,16875
70415295,267,1,1,1875,1875
70415296,268,4,2,5625,11250
70415297,269,2,1,9375,9375
70415298,269,4,3,5625,16875
70415299,270,3,1,7500,7500
70415300,270,2,1,9375,9375
70415301,270,4,1,5625,5625
70415302,271,2,1,9375,9375
70415303,271,4,1,5625,5625
70415304,272,2,2,9375,18750
70415305,272,4,1,5625,5625
70415306,272,1,1,1875,1875
70415307,273,3,2,7500,15000
70415308,273,4,1,5625,5625
70415309,273,1,1,1875,1875
70415310,274,4,1,5625,5625
70415311,275,3,1,7500,7500
70415312,275,4,3,5625,16875
70415313,275,5,1,1250,1250
70415314,275,1,1,1875,1875
70415315,276,3,1,7500,7500
70415316,276,2,1,9375,9375
70415317,277,3,1,7500,7500
70415318,278,3,1,7500,7500
70415319,278,2,2,9375,18750
70415320,278,1,1,1875,1875
70415321,279,3,3,7500,22500
70415322,279,2,2,9375,18750
70415323,279,5,1,1250,1250
70415324,280,4,1,5625,5625
70415325,281,3,2,7500,15000
70415326,281,4,1,5625,5625
70415327,282,3,1,7500,7500
70415328,283,3,2,7500,15000
70415329,283,2,2,9375,18750
70415330,283,4,2,5625,11250
70415331,284,3,1,7500,7500
70415332,284,4,1,5625,5625
70415333,285,4,1,5625,5625
70415334,286,3,3,7500,22500
70415335,286,2,1,9375,9375
70415336,286,5,1,1250,1250
70415337,286,1,1,1875,1875
70415338,287,2,1,9375,9375
70415339,288,3,3,7500,22500
70415340,288,2,2,9375,18750
70415341,288,1,1,1875,1875
70415342,289,3,1,7500,7500
70415343,289,2,1,9375,9375
70415344,289,1,1,1875,1875
70415345,290,4,1,5625,5625
70415346,291,3,1,7500,7500
70415347,291,2,1,9375,9375
70415348,292,3,1,7500,7500
70415349,292,2,1,9375,9375
70415350,292,4,1,5625,5625
70415351,293,3,1,7500,7500
70415352,293,2,2,9375,18750
70415353,293,4,1,5625,5625
70415354,293,5,1,1250,1250
70415355,293,1,1,1875,1875
70415356,294,2,1,9375,9375
70415357,294,4,2,5625,11250
70415358,294,1,1,1875,1875
70415359,295,4,1,5625,5625
70415360,296,4,2,5625,11250
70415361,297,4,1,5625,5625
70415362,298,3,1,7500,7500
70415363,298,2,1,9375,9375
70415364,299,4,1,5625,5625
70415365,300,3,1,7500,7500
70415366,300,2,2,9375,18750
70415367,301,3,1,7500,7500
70415368,301,2,2,9375,18750
70415369,301,4,2,5625,11250
70415370,302,3,1,7500,7500
70415371,303,3,2,7500,15000
70415372,303,4,1,5625,5625
70415373,303,1,1,1875,1875
70415374,304,3,1,7500,7500
70415375,304,2,1,9375,9375
70415376,304,4,3,5625,16875
70415377,304,1,1,1875,1875
70415378,305,3,1,7500,7500
70415379,305,2,1,9375,9375
70415380,305,4,1,5625,5625
70415381,305,1,1,1875,1875
70415382,306,3,2,7500,15000
70415383,306,2,1,9375,9375
70415384,306,4,3,5625,16875
70415385,306,1,2,1875,3750
70415902,307,3,1,7500,7500
70415903,307,2,2,9375,18750
70415904,308,3,3,7500,22500
70415905,308,2,4,9375,37500
70415906,308,4,1,5625,5625
70415907,308,5,1,1250,1250
70415908,308,1,3,1875,5625
70415909,309,2,3,9375,28125
70415910,309,4,1,5625,5625
70415911,310,3,1,7500,7500
70415912,310,2,1,9375,9375
70415913,310,4,2,5625,11250
70415914,311,3,1,7500,7500
70415915,311,2,2,9375,18750
70415916,312,3,1,7500,7500
70415917,312,2,1,9375,9375
70415918,313,2,2,9375,18750
70415919,313,4,3,5625,16875
70415920,314,3,1,7500,7500
70415921,314,2,2,9375,18750
70415922,314,4,1,5625,5625
70415923,314,5,2,1250,2500
70415924,314,1,1,1875,1875
70415925,315,3,2,7500,15000
70415926,315,2,2,9375,18750
70415927,316,3,3,7500,22500
70415928,316,4,1,5625,5625
70415929,317,4,1,5625,5625
70415930,318,4,1,5625,5625
70415931,319,3,2,7500,15000
70415932,319,2,1,9375,9375
70415933,319,4,1,5625,5625
70415934,319,1,2,1875,3750
70415935,320,3,1,7500,7500
70415936,321,3,1,7500,7500
70415937,321,2,2,9375,18750
70415938,321,4,3,5625,16875
70415939,321,1,2,1875,3750
70415940,322,3,2,7500,15000
70415941,322,4,2,5625,11250
70415942,323,3,3,7500,22500
70415943,323,4,3,5625,16875
70415944,323,5,1,1250,1250
70415945,323,1,2,1875,3750
70415946,324,3,1,7500,7500
70415947,324,4,2,5625,11250
70415948,324,5,1,1250,1250
70415949,325,2,1,9375,9375
70415950,326,4,1,5625,5625
70415951,327,2,2,9375,18750
70415952,327,4,1,5625,5625
70415953,327,1,1,1875,1875
70415954,327,1,1,1875,1875
70415955,328,3,1,7500,7500
70415956,328,2,1,9375,9375
70415957,328,4,1,5625,5625
70415958,328,5,2,1250,2500
70415959,329,3,3,7500,22500
70415960,329,2,2,9375,18750
70415961,329,4,2,5625,11250
70415962,330,3,2,7500,15000
70415963,330,2,2,9375,18750
70415964,330,4,1,5625,5625
70415965,330,1,3,1875,5625
70415966,331,2,4,9375,37500
70415967,331,5,1,1250,1250
70415968,331,1,1,1875,1875
70415969,332,3,1,7500,7500
70415970,332,2,1,9375,9375
70415971,332,4,3,5625,16875
70415972,333,2,2,9375,18750
70415973,333,4,2,5625,11250
70415974,333,1,2,1875,3750
70415975,334,2,1,9375,9375
70415976,335,3,1,7500,7500
70415977,335,2,2,9375,18750
70415978,335,1,1,1875,1875
70415979,336,3,1,7500,7500
70415980,336,2,1,9375,9375
70415981,337,3,1,7500,7500
70415982,337,2,3,9375,28125
70415983,337,5,1,1250,1250
70415984,337,1,1,1875,1875
70415985,338,3,1,7500,7500
70415986,339,3,1,7500,7500
70415987,339,2,2,9375,18750
70415988,339,4,2,5625,11250
70415989,339,1,1,1875,1875
70415990,339,1,1,1875,1875
70415991,340,4,1,5625,5625
